"","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",18.816,22.325,19.848,18.787,11.569,10.579,10.611,11.427,15.456,10.968,-1.994,13.099,11.131,13.155,23.347,23.369,28.426,24.865,23.872,20.143,18.916,15.008,15.23,18.522,21.536,15.502,22.436,23.73,19.07,18.827,17.876,17.882,17.286,22.275,60.397,35.995,33.492,20.389,18.758,16.957
"B Annualized Returns",2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",16.303,16.711,15.349,13.534,8.868,8.533,7.444,8.72,10.443,7.334,3.525,14.7,11.51,14.286,23.402,21.973,27.408,22.535,16.978,10.044,12.233,8.907,7.785,11.093,10.531,4.652,9.62,10.969,8.164,5.631,6.223,5.172,6.507,7.627,33.384,16.205,16.688,9.591,9,9.284
"P Volatility",22.45,21.01,18.73,20.41,18.51,17.13,15.3,12.47,12.9,14.23,21.09,24.95,23.83,24.36,24.99,26.45,24.95,24.5,28.67,28.42,24.69,24.96,27.08,24.58,27.52,25.51,23.43,27.13,26.82,26.71,29.07,25.07,27.68,18.62,20.54,14.93,14.85,18.48,19.09,16.24
"B Volatility",11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",10.46,9.03,6.75,8.59,6.79,5.41,3.27,0.51,1.15,2.03,3.21,6.04,4.74,5.34,5.97,7.04,6.22,5.62,9.43,9.73,6.47,6.61,8.4,6.39,9.27,6.84,5.17,8.88,8.48,8.13,10.4,6.4,9.37,7.17,9.09,4.05,3.73,6.06,6.67,3.98
"P Tracking Error",14.86,13.64,12.17,13.5,12.12,11.33,9.91,9.89,7.5,7.51,7.7,13.34,11.46,11.68,13.46,15.57,14.9,13.87,16.81,11.89,9.72,9.6,10.96,12.62,14.35,9.43,8.6,11.7,11,11.05,13.15,9.14,11.35,10.11,12.87,8.14,8.03,9.87,10.73,8.44
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.1,1.23,1.26,1,0.73,0.75,0.75,0.88,1.39,0.98,0.46,1.1,1,1.22,1.74,1.41,1.84,1.62,1.01,0.84,1.26,0.93,0.71,0.88,0.73,0.49,1.12,0.94,0.74,0.51,0.47,0.57,0.57,0.75,2.59,1.99,2.08,0.97,0.84,1.1
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.2,1.2,1.13,1.04,0.64,0.71,0.41,0.88,0.67,0.49,0.33,1.13,1.17,1.54,1.79,1.98,2.09,1.84,1.2,0.48,0.68,0.55,0.55,0.7,0.58,0.36,0.69,0.65,0.29,0.13,0.12,0.16,0.35,0.25,1.04,1,0.97,0.57,0.81,0.61
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.48,1.39,1.21,1.34,1.21,1.1,0.97,0.7,0.9,0.99,1.1,1.12,1.1,1.13,1.11,1.11,1.07,1.07,1.23,1.45,1.28,1.29,1.38,1.17,1.33,1.31,1.21,1.4,1.39,1.36,1.46,1.28,1.45,1.43,1.48,1.16,1.13,1.29,1.31,1.14
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",61.09,61.02,57.58,58.19,56.95,54.69,56.1,42.7,65.47,70.82,86.83,70.92,76.4,77.02,70.38,64.32,62.94,66.75,66.48,91,88.1,89.2,90,74.06,76.46,90.92,88.75,88.08,89.81,88.51,87.9,90.7,91.69,76.5,66.32,70.37,70.43,74.15,71.09,72.87
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-22.4111,-20.7144,-16.842,-18.2907,-16.8553,-15.7653,-15.0355,-11.7198,-14.3637,-13.7543,-34.6791,-31.4336,-31.3642,-31.5869,-30.6182,-30.0771,-28.9339,-28.7941,-33.4411,-39.1694,-35.3126,-35.8551,-36.7594,-32.7419,-35.6372,-35.4727,-34.8417,-39.379,-38.3419,-38.6311,-39.703,-35.2384,-39.0488,-32.5803,-8.735,-9.4033,-11.5738,-18.0377,-21.8441,-20.6565
