"","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.089,15.739,17.229,18.736,17.049,21.139,18.079,21.598,14.523,13.913,14.274,11.266,11.219,6.357,8.829,10.44
"B Annualized Returns",7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",7.098,7.783,9.463,9.68,9.036,8.954,7.003,7.016,2.808,3.495,3.296,2.57,1.394,0.757000000000001,2.42,4.701
"P Volatility",21.03,21.29,21.59,20.29,19.55,20.92,20.61,20.67,20.63,19.7,20.54,21.09,21.76,20.33,21.6,23.44
"B Volatility",17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",3.94,3.96,4.48,3.24,2.92,4.18,4.43,4.95,5.07,4.12,4.79,5.45,6.04,4.38,5.13,6.97
"P Tracking Error",8.51,7.8,9.7,7.27,7.25,8.11,8.02,10.21,10.07,8.41,9.44,11.03,10.13,9.08,9.5,9.28
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.83,1,0.98,1.33,1.25,1.1,0.87,0.69,0.28,0.42,0.35,0.23,0.14,0.08,0.25,0.51
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.57,0.66,0.7,0.7,0.61,0.5,0.36,0.38,0.27,0.12,0.14,0.04,-0.03,0.06,0.15,0.31
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.13,1.15,1.14,1.12,1.1,1.16,1.19,1.15,1.17,1.15,1.17,1.16,1.25,1.15,1.19,1.35
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",84.35,87.76,80.4,87.75,86.52,86.3,86.65,76.23,77.14,82.78,80,73.28,81.06,80.88,82.33,90.25
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-33.88,-33.8395,-32.7834,-32.9359,-32.6383,-33.6332,-34.7665,-33.5421,-32.6371,-33.7196,-33.2799,-32.4164,-35.468,-33.5981,-33.9466,-37.3821
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",1.8465,1.887,2.9431,2.7906,3.0882,2.0933,0.960000000000001,2.1844,3.0894,2.0069,2.4466,3.3101,0.258499999999998,2.1284,1.7799,-1.6556
