"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.049,14.301,12.551,10.803,13.486,15.785,16.122,29.045,16.44,5.975,-15.834,7.8,5.176,5.111,14.912,2.271,4.404,1.454,11.776,4.045,12.555,30.819,87.677,52.104,51.1,40.238,27.358,30.658,36.902,44.97,24.091,28.136,26.476,28.558,29.601,27.328,14.831,1.451,2.202,5.737
"B Annualized Returns",1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",13.305,11.188,12.329,10.19,10.819,5.59,6.191,10.617,3.743,3.175,1.749,17.781,8.082,10.31,15.057,-0.0840000000000001,5.004,7.877,9.152,1.631,10.311,22.975,51.421,24.007,22.865,9.911,2.66,6.434,12.496,8.585,2.496,4.063,3.838,10.473,11.204,16.519,8.44,5.593,5.927,12.259
"P Volatility",17.17,17.16,16.27,16.85,14.3,16.71,14.19,7.82,7.32,9.29,23.36,24.58,38.32,34.3,35.37,35.93,35.92,35.09,39.43,37.8,36.46,23.23,26.4,17.44,17.79,16.79,17.09,16.14,17.18,11.49,11.98,12.83,11.2,10.74,9.85,11.65,11.12,10.71,17.2,17.9
"B Volatility",15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",1.58,1.31,0.44,1.02,0.890000000000001,3.3,3.49,0.9,0.4,0.43,2.94,3.12,15,10.98,12.05,11.92,11.8,11.14,13.27,11.64,10.95,9.13,12.3,5.25,5.7,4.7,5.52,5.52,6.56,4.27,3.61,4.46,2.52,2.05,1.16,1.73,1.09,0.680000000000001,4.2,5.07
"P Tracking Error",7.09,3.83,5.39,4.06,6.5,6.81,6.78,9.02,8.14,7.52,8.48,11.02,20.21,16.95,17.59,15.11,14.5,14.42,16.04,13.83,13.21,12.14,15.24,8.99,9.47,7.21,8.36,8.69,9.44,9.73,8.89,9.22,9,8.72,7.1,6.2,6.67,6.27,7.99,8.73
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.88,2.92,2.29,2.51,1.66,0.82,0.91,1.18,0.46,0.42,0.21,1.61,0.4,0.61,0.86,-0.01,0.35,0.55,0.57,0.12,0.78,1.89,3.37,2.67,2.41,1.37,0.32,0.74,1.32,0.88,0.28,0.44,0.43,1.2,1.58,2.66,1.27,0.89,0.74,1.4
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.9,1.37,1.15,1.04,0.49,0.17,0.06,1.07,0.91,0.17,0.19,0.27,1.02,1.33,1.49,0.72,0.67,1.03,0.61,0.21,0.92,1.4,1.44,1.06,0.98,0.36,-0.06,-0.27,-0.32,0.76,0.42,0.2,0.96,0.56,0.84,0.67,0.96,0.95,1.01,1.04
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1,1.06,0.97,1.03,0.95,1.15,1.18,0.29,0.37,0.69,1.07,1.02,1.47,1.32,1.37,1.42,1.43,1.39,1.45,1.4,1.39,1.49,1.67,1.25,1.28,1.29,1.33,1.32,1.41,0.86,0.96,1.07,0.8,0.76,0.81,0.99,0.89,0.87,1.19,1.24
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",81.03,94.77,87.9,93.67,77.29,83.09,76.6,-3.9,2.24,37.03,85.74,77.43,78.35,78.03,78.97,89.18,91.1,89.22,91.45,93.81,93.59,79.33,77.13,73.92,72.37,84.22,78.98,72.76,73.79,21.21,38.88,42.8,31.09,30.87,45.48,68.48,61.01,63.4,78.19,76.89
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.5575,-14.1201,-11.408,-12.1004,-8.6598,-9.6032,-9.3213,-5.4167,-4.8311,-10.1711,-33.858,-32.7563,-36.936,-34.1034,-34.4047,-39.0884,-37.3831,-38.1085,-37.9501,-37.6669,-37.3694,-32.5035,-7.9784,-7.3033,-7.1482,-7.4661,-8.1557,-6.5367,-7.1715,-7.7724,-6.3763,-6.8399,-6.1252,-6.8647,-6.7775,-7.8921,-11.4192,-15.2768,-18.4116,-19.7184
"B Max Drawdown",-13.4446,-13.4446,-12.9881,-12.5618,-10.6565,-7.2553,-7.2553,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7677,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
