"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.449,4.562,3.218,6.293,9.66,10.578,9.328,20.373,7.164,4.105,-12.008,16.197,3.956,3.955,14.44,-3.087,-7.419,-19.826,-0.843,-16.417,3.013,39.505,119.53,92.076,75.399,68.068,51.501,52.364,79.096,84.916,43.663,49.416,64.578,48.468,50.139,56.491,37.048,14.459,20.701,25.912
"B Annualized Returns",1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",8.705,1.449,2.996,5.68,6.993,0.382999999999999,-0.603,1.945,-5.533,1.305,5.575,26.178,6.862,9.154,14.585,-5.442,-6.819,-13.403,-3.467,-18.831,0.769,31.661,83.274,63.979,47.164,37.741,26.803,28.14,54.69,48.531,22.068,25.343,41.94,30.383,31.742,45.682,30.657,18.601,24.426,32.434
"P Volatility",13.14,14.18,13.22,12.38,12.1,14.93,10.73,7.42,8.74,10.21,22.48,24.78,43.65,36.98,39.65,40.04,39.95,42.48,45.28,41.11,42.37,30.47,39.33,31.02,33.97,32.7,31.83,31.21,31.39,20.11,19.92,19.07,17.18,13.79,15.82,15.57,18.98,17.34,23.81,24.77
"B Volatility",15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",-2.45,-1.67,-2.61,-3.45,-1.31,1.52,0.0300000000000011,0.5,1.82,1.35,2.06,3.32,20.33,13.66,16.33,16.03,15.83,18.53,19.12,14.95,16.86,16.37,25.23,18.83,21.88,20.61,20.26,20.59,20.77,12.89,11.55,10.7,8.5,5.1,7.13,5.65,8.95,7.31,10.81,11.94
"P Tracking Error",9.5,6.13,7.33,7.36,5.57,4.19,5.03,4.72,7.32,9.48,10.09,14.18,26.92,21.09,23.74,22.16,20.13,25.27,24.49,18.95,21.09,21.84,29.31,24.13,26.9,24.75,22.53,22.72,22.76,19.28,18.31,17.26,18.11,14.94,17.05,16.97,20.32,19,19.04,19.57
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
