"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",24.796,23.64,24.459,18.529,12.326,9.085,14.475,15.21,14.955,11.015,2.88,14.04,10.229,17.038,20.076,15.03,15.461,13.066,14.175,14.363,17.991,15.832,18.973,16.243,15.486,15.424,17.914,20.875,17.879,21.841,19.955,21.587,15.791,14.193,14.264,9.772,13.369,6.713,9.238,9.226
"B Annualized Returns",5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",19.674,17.448,19.306,13.94,7.792,4.748,10.119,11.297,10.485,8.804,7.338,14.634,9.045,15.17,16.918,11.285,13.904,12.994,11.189,11.786,12.616,10.343,11.458,8.819,7.545,7.468,10.143,11.819,9.712,9.655,8.879,7.005,4.56,3.775,3.286,0.831,3.544,1.525,2.113,3.487
"P Volatility",25.51,24.97,22.67,21.57,21.64,16.16,12.89,14.24,13.91,14.16,18.83,24.09,25.08,25.07,22.74,23.16,22.97,22.9,21.12,20.83,21.05,19.95,20.64,18.55,18.61,19.4,19.73,19.88,19.38,20.94,21.75,18.89,21,19.33,20.43,21.62,22.32,22.99,23.39,23.05
"B Volatility",10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",15.43,15.07,12.77,11.67,11.71,6.23,2.84,4.17,3.76,3.62,3.88,8.25,9.13,9.13,6.8,7.01,6.82,6.62,3.94,3.43,4.03,2.9,3.38,1.5,1.52,2.07,2.64,2.83,2.88,4.2,5.57,3.17,5.44,3.75,4.68,5.98,6.6,6.53,6.92,6.58
"P Tracking Error",20.25,19.74,17.46,16.21,16.6,11.19,8.77,9.83,9.47,8.1,8.94,13.6,13.39,14.24,12.93,11.83,12.12,11.86,9.43,9.98,9.33,8.8,8.27,8.21,8.24,6.95,8.77,12.22,11.09,11.37,10.68,6.66,8.84,8.19,8.71,8.87,8.93,8.8,10.22,10.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
