"","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.498,6.544,9.749,8.668,2.333,-3.295,0.515,-7.602,1.763,7.566,11.308,10.647,6.884,7.085,3.548,7.161,6.01,11.728,11.236,21.57,13.266,5.404,-12.532,-5.693,-4.055,-3.41,-0.623,-2.891,0.741,-0.376,6.039,-1.175,1.186,5.586,46.568,33.967,28.763,32.793,28.16,33.19,30.715,38.205,18.407,24.385,20.871,22.396,18.033,6.538,10.199,3.809,0.526,-0.373
"B Annualized Returns",4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",-2.364,-1.819,1.245,-0.841000000000001,-0.228,1.501,4.923,4.635,3.368,3.091,2.997,3.791,5.753,4.15,3.326,5.172,3.343,1.533,-0.106,3.142,2.077,2.604,5.051,4.252,-1.292,1.789,-0.478,-3.486,1.341,4.572,3.415,-3.589,-0.304,-2.258,10.312,5.874,2.041,3.895,3.431,8.966,8.231,3.402,-3.188,0.312000000000001,-0.0480000000000018,4.311,-0.363999999999997,-5.487,3.808,8.744,3.909,6.149
"P Volatility",5.96,6.43,6.02,6.49,5.89,7.35,7.8,10.6,9.1,10.69,10.14,11.5,10.85,12.05,12.33,11.58,10.68,12.21,8.18,5.22,4.49,8.6,17.18,23.73,22.07,24.64,26.16,24.36,24.86,25.98,24.78,26.23,24.15,14.45,15.61,13.96,14.13,15.05,14.44,14.59,14.96,10.85,11.78,10.64,11.26,9.32,8.6,10.56,10.84,12.31,13.09,14.13
"B Volatility",7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",-1.35,-1.21,-1.74,-1.27,-1.17,-2.93,-2.77,-1.85,-3.35,-5.05,-5.44,-4.09,-5.12,-3.8,-3.5,-4.19,-2.73,-1.2,-2.52,-1.7,-2.44,-0.26,-3.24,0.760000000000002,-1.25,1.32,2.84,0.349999999999998,0.739999999999998,2.03,-1.38,0.0700000000000003,-1.36,0.35,1.51,1.77,2.04,2.87,2.81,3.97,4.98,3.63,3.41,2.27,2.58,0.630000000000001,-0.0899999999999999,0.640000000000001,0.81,-0.66,0.0899999999999999,1.3
"P Tracking Error",3.61,3.49,3.16,3.36,3.75,4.45,4.63,4.22,5.25,6.47,6.98,5.62,6.9,5.5,5.45,5.78,3.84,3.71,3.4,6.98,5.91,6.14,6.84,4.17,4.26,7.17,7.16,5.38,5.08,5.76,5.57,4.84,7.56,3.72,3.88,6.72,7.39,6.7,7.04,7.43,7.68,8.18,8.78,7.8,8.46,6.88,6.12,6.36,5.91,5.73,5.11,5.91
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
