"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",21.892,13.072,14.639,14.685,12.86,11.769,14.1,21.672,9.325,12.372,7.437,15.968,25.006,27.397,20.516,28.37,16.127,9.957,5.122,-5.029,10.095,14.222,19.369,17.943,10.534,12.753,16.569,28.86,20.728,21.152,19.935,25.426,16.404,4.362,-17.226,-2.647,-5.947,-6.781,6.535,6.176,11.945,6.527,16.138,9.938,13.002,22.937,73.601,45.272,36.731,38.39,27.661,36.477,37.497,44.41,23.007,27.79,26.309,19.887,26.161,12.42,15.275,0.674,-0.448,-1.902
"B Annualized Returns",11.206,7.356,6.331,4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",10.686,5.716,8.308,9.848,3.593,1.436,7.316,14.776,6.02,12.948,9.736,15.345,20.144,19.034,12.012,18.861,13.566,14.753,9.53,7.208,11.7,9.747,11.058,11.087,9.403,9.818,16.347,26.871,18.061,10.957,8.593,6.998,5.215,1.562,0.356999999999999,7.298,-3.184,-1.582,6.68,5.581,12.545,11.475,13.514,7.524,11.512,15.093,37.345,17.179,10.009,9.492,2.932,12.253,15.013,9.607,1.412,3.717,5.39,1.802,7.764,0.395,8.884,5.609,2.935,4.62
"P Volatility",10.8,9.1,7.53,7.79,7.61,6.13,6.11,6.94,6.89,6.44,7.36,8.41,8.06,9.84,10.7,10.71,10.9,12.22,9.65,11.1,11.5,15.16,16.77,15.54,14.91,14.74,15.01,11.58,12.29,12.97,11.72,6.1,6.85,9.57,21.95,32.88,34.25,34.11,34.73,33.79,31.77,33.04,34.14,31.95,33.87,21.4,24.98,13.93,15.03,15.04,16.54,15.67,15.88,10.84,11.21,12.39,12.58,9.26,8.65,11.17,10.6,16.61,17.18,17.44
"B Volatility",4.75,4.03,4.17,4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",6.05,5.07,3.36,3.62,2.62,0.82,1.17,2,1.47,-0.0499999999999998,0.61,1.1,0.750000000000001,2.2,2.94,2.95,3.84,1.94,-0.92,-1.35,-0.949999999999999,-0.58,1.19,-0.0500000000000007,-1.06,-1.11,-0.82,-4.19,-1.12,-0.44,1.02,-0.82,-0.0800000000000001,0.710000000000001,1.53,9.91,10.93,10.79,11.41,9.78,7.65,9.09,7.98,5.79,8.36,7.3,10.88,1.74,2.94,2.86,4.91,5.05,5.9,3.62,2.84,4.02,3.9,0.57,-0.0399999999999991,1.25,0.57,3.64,4.18,4.61
"P Tracking Error",9.81,8.79,7.97,7.7,7.44,6.01,7.13,7.07,6.3,4.78,5.76,6.93,7.02,7.18,10.33,9.66,10.47,8.7,6.84,7.29,7.4,7.14,7.03,7.44,7.04,3.87,4.56,7.2,9.94,8.59,7.74,4.35,5.83,6.02,5.51,13.13,13.24,12.78,15.37,14.95,13.79,13.32,13.85,11.1,13.66,10.97,13.44,4.74,5.82,5.74,7.7,8.61,8.98,7.91,7.43,8.74,10.1,5.7,6.52,5.73,6.31,7.38,7.5,7.96
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
