"","1 Y 2016-11-29 to 2017-12-04","1 Y 2016-12-29 to 2018-01-03","1 Y 2017-01-30 to 2018-02-03","1 Y 2017-03-01 to 2018-03-06","1 Y 2017-03-29 to 2018-04-03","1 Y 2017-05-01 to 2018-05-04","1 Y 2017-05-29 to 2018-06-03","1 Y 2017-06-29 to 2018-07-04","1 Y 2017-07-31 to 2018-08-03","1 Y 2017-08-29 to 2018-09-03","1 Y 2017-09-29 to 2018-10-04","1 Y 2017-10-30 to 2018-11-03","1 Y 2017-11-29 to 2018-12-04","1 Y 2017-12-29 to 2019-01-03","1 Y 2018-01-29 to 2019-02-03","1 Y 2018-03-01 to 2019-03-06","1 Y 2018-03-29 to 2019-04-03","1 Y 2018-04-30 to 2019-05-04","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.524,23.255,6.738,12.108,8.894,16.105,21.643,29.156,19.616,26.667,21.904,10.122,7.355,-7.047,7.369,10.959,16.2,17.15,13.122,13.583,15.921,22.656,21.272,22.795,23.847,25.029,20.459,12.683,-11.057,7.068,7.063,-5.45,4.749,6.9,5.545,-1.422,12.822,12.424,8.972,21.072,70.716,36.822,43.816,38.052,30.071,34.198,37.64,39.048,22.72,25.012,23.136,21.544,20.113,15.493,11.011,-3.953,-1.951,-6.599
"B Annualized Returns",7.177,6.376,3.305,-0.535,-2.091,0.623,4.862,8.158,8.504,9.509,2.736,-4.796,-3.194,-10.927,-1.605,4.275,7.938,6.856,1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",7.347,16.879,3.433,12.643,10.985,15.482,16.781,20.998,11.112,17.158,19.168,14.918,10.549,3.88,8.974,6.684,8.262,10.294,11.378,10.47,15.699,22.043,18.605,12.6,13.916,6.601,7.762,9.883,6.526,17.049,9.969,-0.251,4.894,4.545,6.145,5.001,10.198,10.01,6.728,13.228,34.46,8.725,15.581,7.725,5.373,9.974,13.234,2.663,1.125,0.939,0.497999999999998,3.459,1.716,4.684,4.62,0.189000000000001,1.774,-0.077
"P Volatility",5.6,6.96,8.82,7.63,8.31,8.72,9.16,9.42,9.85,9.75,10.39,12.45,11.26,10.4,10.53,15.7,16.19,15.76,15.43,15.35,14.34,11.81,12.28,13.02,11.53,6.27,6.93,10.39,21.43,22.4,32.09,32.32,32.22,34.29,29.15,34.33,34.84,33.79,36.18,23.44,24.41,14.51,15.35,15.72,16.12,15.17,16.12,10.07,11.61,10.94,10.85,8.99,9.48,11.53,10.76,11.16,16.38,14.86
"B Volatility",5.31,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",0.29,2.02,3.4,1.14,1.56,1.41,1.85,1.78,2.09,1.99,3.33,2.17,0.69,-2.05,-1.92,-0.0400000000000009,0.610000000000001,0.17,-0.16,-0.5,-1.49,-4.02,-1.13,-0.390000000000001,0.83,-0.65,0.00999999999999979,1.53,1.01,0.939999999999998,8.77,9,8.9,10.28,5.03,10.38,8.68,7.63,10.67,9.34,10.31,2.32,3.26,3.63,4.55,4.55,5.5,2.85,3.24,2.57,2.17,0.300000000000001,0.790000000000001,1.61,0.73,1.13,3.38,2.03
"P Tracking Error",6.24,7.07,6.94,6.16,6.67,7.29,7.84,7.41,9.51,9.05,9.91,9.27,8.43,8.21,8.43,8.17,7.53,7.38,5.99,3.51,3.55,6.31,9.66,8.59,8.96,6.07,6.68,8.44,7.37,7.38,13.2,10.93,11.72,14.41,8.67,12.8,11.71,13.08,14.65,13.2,12.99,4.85,6.06,6.16,7.17,7.5,8.53,8.26,7.67,7.14,7.97,5.89,5.87,5.47,5.33,4.36,6.43,5.81
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.18,2.39,0.49,2.05,1.65,2.12,2.14,2.83,1.17,1.9,1.93,1.61,1.25,0.47,1.06,0.82,1.1,1.39,1.9,2.98,4.42,3.49,1.93,1.47,1.55,1.09,1.16,1.17,0.89,2.31,0.76,-0.02,0.42,0.32,0.71,0.39,0.87,0.77,0.46,1,2.65,1.8,2.57,1.25,0.75,1.33,1.55,0.32,0.15,0.13,0.06,0.59,0.29,0.86,0.87,0.04,0.28,-0.01
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
