"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.066,15.325,42.39,62.615,46.156,26.551,58.306,65.827,49.639,37.777,0.418,16.512,32.874,32.406,28.389,9.701,24.179,27.888,8.929,24.368,8.052,-0.013,13.558,17.584,50.212,46.592,18.265,15.391,-4.189,13.614,14.087,28.062,16.444,0.279,12.794,17.547,10.945,16.695,13.414,26.695,24.83,30.827,16.585,-22.606,1.229,12.23,36.516,50.16,36.172,17.953,-0.765,-0.686,19.266,10.293,10.719,24.254,10.078,15.93,52.862,40.938,34.568,21.717,38.542,17.1,38.321,47.429,29.583,28.867,36.047,-0.535,5.566,-8.451,-14.079
"B Annualized Returns",7.33,9.628,8.352,11.521,17.484,24.252,20.245,15.865,13.629,11.206,9.71,6.477,4.837,8.114,9.158,7.177,5.936,3.305,-0.839,-2.523,0.231,4.862,6.03,8.959,9.509,2.642,-4.796,-3.461,-11.26,-1.605,3.983,7.655,6.856,1.744,2.391,0.222,0.613,2.663,10.195,10.635,18.456,12.697,2.419,-18.804,-9.981,-4.161,-5.199,-0.145,1.964,-0.6,-5.489,2.524,2.414,0.84,7.844,36.256,24.739,30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",14.736,5.697,34.038,51.094,28.672,2.299,38.061,49.962,36.01,26.571,-9.292,10.035,28.037,24.292,19.231,2.524,18.243,24.583,9.768,26.891,7.821,-4.875,7.528,8.625,40.703,43.95,23.061,18.852,7.071,15.219,10.104,20.407,9.588,-1.465,10.403,17.325,10.332,14.032,3.219,16.06,6.374,18.13,14.166,-3.802,11.21,16.391,41.715,50.305,34.208,18.553,4.724,-3.21,16.852,9.453,2.875,-12.002,-14.661,-14.153,22.535,16.24,10.545,-2.689,1.557,-4.495,14.248,23.496,11.498,10.47,26.299,-5.331,9.708,-5.284,-7.557
"P Volatility",12.17,11.71,25.5,13.07,23.9,12.45,27.74,32.89,21.71,12.84,17.5,20.25,17.47,14.49,11.59,11.38,14.4,11.82,5.87,11.19,6.61,6.54,9.27,9.54,15.96,18.67,20.38,21.34,15.39,17.39,27.37,22.79,17.96,18.16,24.75,25.61,16.73,20.89,12.52,12.32,14.52,12.03,13.23,28.73,26.19,31.76,35.38,40.36,34.3,24.52,28.88,44.75,41.02,36.87,25.63,20.01,15.36,16.69,24.28,18.35,13.61,12.57,13.92,13.89,20.96,20.45,17.89,14.78,14.91,12.14,12.09,15.74,17.03
"B Volatility",10.16,10.16,8.81,8.1,8.1,5.5,4.59,4.59,4.61,4.75,4.75,4.17,4.17,4.99,5.31,5.31,4.94,5.42,6.49,6.49,7.31,7.31,7.74,7.76,7.76,7.06,10.28,10.28,10.57,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,7.06,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,24.12,26.16,26.16,25.51,14.1,14.1,12.27,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",2.01,1.55,16.69,4.97,15.8,6.95,23.15,28.3,17.1,8.09,12.75,16.08,13.3,9.5,6.28,6.07,9.46,6.4,-0.62,4.7,-0.699999999999999,-0.77,1.53,1.78,8.2,11.61,10.1,11.06,4.82,4.94,11.63,7.21,2.37,2.57,8.9,9.78,0.9,7.48,-0.890000000000001,1.62,7.46,5.11,4.37,8.31,4.73,8.44,12.06,17.04,10.29,0.399999999999999,4.76,18.59,14.86,11.36,11.53,5.91,3.09,4.6,12.19,6.78,2.99,1.95,6.7,5.52,12.59,11.77,9.2,6.09,4.99,2.11,2.06,2.77,4.2
"P Tracking Error",11.14,12.22,23.13,11.4,21.22,12.57,27.82,32.52,22.27,12.43,16.91,20.11,17.85,15.38,11,10.45,12.86,11.29,8.85,10.24,8.3,7.3,7.12,9.24,16.12,19.08,16.43,16.89,13.16,12.26,16.17,11.54,6.46,13.46,11.57,11.69,4.35,12.38,7.68,14.56,18.44,15.77,11.75,11.99,7.33,15.12,24.94,29.28,23.48,16.9,9.59,22.37,21.61,14.7,19.65,15.94,16.07,15.32,16.99,11.23,9.66,10.13,9.71,8.86,18.59,20.52,17.65,15.93,14.79,7.84,7.64,9.81,13.31
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
