"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.48,2.44,2.91,2.13,2.2,1.89,2.17,1.54,1.37,1.27,1.47,1.43,1.37,1.57,1.79,2.06,2.26,1.93,2.15,2.13,2.31,1.86,1.87,1.49,1.3,1.03,0.89,1.01,1.48,1.23,1.27,1.13,1.25,1.08,0.8,0.34,0.08,0.21,-0.05,0.12,-0.1,-0.14,0.09
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.89,2.01,2.05,2.25,2.38,2.22,1.98,1.83,1.5,1.57,1.52,1.6,1.57,1.43,1.54,1.61,1.64,1.45,0.98,1.46,1.47,1.36,1.51,1.42,1.49,1.6,1.59,1.59,1.43,1.39,1.4,1.32,1.14,1.13,1.06,1.22,1.12,1.11,1.05,1.01,1.06,1.02,0.94
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",25.86,22.85,23.37,28.27,27.63,26.29,28.58,25.96,27.22,45.12,38.7,42.69,48,55.86,56.9,54.01,57.06,55.06,45.05,60.13,66.13,65.81,68.5,66.85,73.17,72.78,69.63,75.63,71.68,71.83,77.99,74.24,69.28,69.15,62.88,58.9,55.64,57.11,55.86,32.23,38.92,43.87,37.5
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-30.4871,-32.5197,-32.7679,-34.3499,-35.241,-33.1978,-30.2843,-29.9226,-26.2309,-26.7532,-26.166,-25.6097,-25.1861,-37.5925,-36.4892,-38.752,-35.8432,-35.8952,-26.3722,-31.6963,-31.6718,-32.474,-36.4738,-33.5281,-36.4587,-39.931,-40.6925,-39.0526,-34.8572,-34.4963,-33.2202,-31.1031,-28.862,-29.5221,-28.0427,-31.0558,-28.9318,-28.5843,-29.2439,-28.5774,-32.4778,-31.1188,-30.4778
"B Max Drawdown",-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-17.0424,-19.0751,-19.3233,-20.9053,-21.7964,-19.7532,-16.8397,-16.478,-12.7863,-13.3086,-12.7214,-12.1651,-11.7415,-1.866,-0.762699999999995,-3.0255,-0.116700000000002,-0.168700000000001,9.3543,4.0302,4.0547,3.2525,-0.747299999999996,2.1984,-0.732199999999999,-4.2045,-4.966,-3.3261,0.869300000000003,1.2302,2.5063,4.6234,6.8645,6.2044,7.6838,4.6707,6.7947,7.1422,6.4826,7.1491,3.2487,4.6077,5.2487
