"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.167,10.202,8.173,7.577,4.105,6.12,6.01,5.885,5.671,4.31,7.594,4.584,9.527,5.581,3.112,4.89,6.177,11.145,8.439,-2.249,1.411,2.229,0.288,2.332,-2.784,0.113,1.464,2.956,11.11,7.43,6.45,6.291,7.963,9.599,9.213,10.181,10.63,8.101,10.204,8.102,10.234,9.595,12.639,26.352,17.115,13.235,13.432,13.312,10.935
"B Annualized Returns",6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",1.617,4.341,6.23,6.551,7.247,5.023,4.092,3.016,2.181,1.797,1.98,0.085,4.274,2.88,1.066,1.723,3.47,6.132,4.805,3.27,3.012,2.608,1.419,2.387,-4.18,-0.905,-0.866,-3.938,1.011,0.747,0.349,-1.154,0.534,-1.406,-1.637,-2.635,-2.131,-2.805,-2.992,-3.551,-2.476,-1.184,-2.009,-0.661000000000001,-2.675,-3.569,2.634,3.554,3.262
"P Volatility",5.56,5.31,6.44,7.11,8.67,8.37,10.02,10,9.86,9.28,8.53,9.76,8.94,8.88,9.07,8.92,8.38,8.38,10.14,17.09,17.72,19,19.25,19.67,19.95,18.95,19.51,18.96,18.06,17.61,18.7,19.58,19.09,19.39,19.62,18.01,19.08,20.72,19.09,21.08,20.82,19.29,13.04,13.09,12.02,12.57,13.59,14.49,13.87
"B Volatility",6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",-0.44,-0.850000000000001,-1.6,-0.909999999999999,-0.73,-1.03,-1.62,-1.65,-1.94,-2.71,-3.45,-2.22,-2.88,-2.84,-2.65,-3.11,-3.58,-3.37,-2.06,-0.789999999999999,-1.19,-0.0899999999999999,0.23,0.650000000000002,0.539999999999999,0.219999999999999,0.630000000000003,-0.279999999999998,-0.630000000000003,-0.609999999999999,0.349999999999998,0.899999999999999,0.899999999999999,1.14,0.949999999999999,-0.25,0.829999999999998,2.38,0.510000000000002,2.41,2.15,0.98,1.59,1.64,1.14,1.45,1.17,2.07,1.61
"P Tracking Error",4.55,4.96,4.94,5.22,5.1,4.57,4.32,4.09,3.76,4.21,5.7,3.73,5.34,4.49,3.84,4.95,5.12,5.53,5.45,5.26,5.62,6.46,6.67,6.64,5.09,4.1,4.49,3.11,7.61,6.56,7.13,6.95,8.39,8.94,9.78,9.58,6.2,7.02,6.01,6.16,6.06,6.2,6.41,6.15,6.23,6.38,6.1,6.02,6.67
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
