"","2 Y 2015-08-28 to 2017-09-02","2 Y 2015-09-28 to 2017-10-03","2 Y 2015-10-28 to 2017-11-02","2 Y 2015-11-30 to 2017-12-03","2 Y 2015-12-29 to 2018-01-02","2 Y 2016-01-28 to 2018-02-02","2 Y 2016-02-29 to 2018-03-05","2 Y 2016-03-28 to 2018-04-02","2 Y 2016-04-28 to 2018-05-03","2 Y 2016-05-30 to 2018-06-02","2 Y 2016-06-28 to 2018-07-03","2 Y 2016-07-28 to 2018-08-02","2 Y 2016-08-29 to 2018-09-02","2 Y 2016-09-28 to 2018-10-03","2 Y 2016-10-28 to 2018-11-02","2 Y 2016-11-28 to 2018-12-03","2 Y 2016-12-28 to 2019-01-02","2 Y 2017-01-30 to 2019-02-02","2 Y 2017-02-28 to 2019-03-05","2 Y 2017-03-28 to 2019-04-02","2 Y 2017-04-28 to 2019-05-03","2 Y 2017-05-29 to 2019-06-02","2 Y 2017-06-28 to 2019-07-03","2 Y 2017-07-28 to 2019-08-02","2 Y 2017-08-28 to 2019-09-02","2 Y 2017-09-28 to 2019-10-03","2 Y 2017-10-30 to 2019-11-02","2 Y 2017-11-28 to 2019-12-03","2 Y 2017-12-28 to 2020-01-02","2 Y 2018-01-29 to 2020-02-02","2 Y 2018-02-28 to 2020-03-04","2 Y 2018-03-28 to 2020-04-02","2 Y 2018-04-30 to 2020-05-03","2 Y 2018-05-28 to 2020-06-02","2 Y 2018-06-28 to 2020-07-03","2 Y 2018-07-30 to 2020-08-02","2 Y 2018-08-28 to 2020-09-02","2 Y 2018-09-28 to 2020-10-03","2 Y 2018-10-29 to 2020-11-02","2 Y 2018-11-28 to 2020-12-03","2 Y 2018-12-28 to 2021-01-02","2 Y 2019-01-28 to 2021-02-02","2 Y 2019-02-28 to 2021-03-05","2 Y 2019-03-28 to 2021-04-02","2 Y 2019-04-29 to 2021-05-03","2 Y 2019-05-28 to 2021-06-02","2 Y 2019-06-28 to 2021-07-03","2 Y 2019-07-29 to 2021-08-02","2 Y 2019-08-28 to 2021-09-02","2 Y 2019-09-30 to 2021-10-03","2 Y 2019-10-28 to 2021-11-02","2 Y 2019-11-28 to 2021-12-03","2 Y 2019-12-30 to 2022-01-02","2 Y 2020-01-28 to 2022-02-02","2 Y 2020-02-28 to 2022-03-05","2 Y 2020-03-30 to 2022-04-02","2 Y 2020-04-28 to 2022-05-03","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"P Information Ratio",0.27,1.27,-0.04,0.74,2.37,1.02,0.7,0.87,0.35,-0.14,2.25,0.73,0.09,0.37,0.58,1.34,1.31,0.76,1.34,0.76,0.07,0.74,0.47,0.95,0.62,0.78,0.56,0.85,0.36,0.83,1.32,0.47,1.2,1.55,0.6,0.73,0.97,-1.07,0.35,0.49,1.66,0.84,-0.11,0.23,0.06,-0.09,-0.53,-0.31,-0.1,0.39,0.35,-0.3,-0.49,-0.41,-0.31,-0.22,0.2,0.61,-0.41,0.58,1.4
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.41,0.93,0.17,0.82,1.13,0.88,0.41,0.67,0.2,0.15,1.77,0.65,0.25,0.19,0.17,0.54,0.66,0.33,0.69,0.37,0.05,0.22,0.32,0.61,0.36,0.35,0.24,0.46,0.22,0.49,0.22,-0.14,0.27,0.79,0.47,0.36,0.52,-0.44,0.13,0.16,0.69,0.1,-0.23,-0.03,0.06,0.1,-0.13,-0.18,-0.05,0.05,0.12,-0.07,-0.33,-0.08,0.12,-0.32,-0.14,0.29,-0.35,0.27,0.76
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.5,0.69,0.67,0.54,0.76,1.18,0.68,0.47,0.73,0.64,0.78,0.38,0.55,0.78,0.66,0.64,0.69,0.72,0.96,0.68,0.67,0.76,0.69,1.06,0.71,0.67,0.73,0.69,0.7,0.69,0.79,0.82,0.81,0.97,0.87,0.88,1.03,1,1.03,1.04,1.11,0.97,0.97,0.94,1.06,0.92,1.05,0.96,1.09,1.21,1.07,0.95,1.08,1.03,1,1.11,1.11,0.99,1.08,1.01,1.1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",32.88,29.79,50.54,22.92,27.16,20.63,53.15,21.52,47.39,41.4,18.2,15.01,31.53,64.17,76.58,62.72,53.8,68.43,73.33,75.55,79.49,88.26,85.87,69.8,78.84,77.88,88.75,76.86,84.13,81.66,89.05,92.21,90.65,87.69,85.61,89.2,93.26,95.19,95.02,89.25,93.38,96.52,93.65,87.58,94.62,81.6,95.16,89.8,92.28,95.47,88.61,88.75,91.1,85.46,74.38,79.65,82.52,79.72,79.12,78.93,73.67
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-10.3485,-10.312,-10.4378,-10.1679,-7.6152,-17.5127,-6.7019,-6.413,-7.2319,-7.2167,-13.0629,-5.82,-7.1381,-7.6112,-9.1635,-10.0311,-12.5737,-11.5347,-12.2368,-10.5732,-10.7066,-11.3436,-10.4349,-14.1029,-11.5895,-9.3656,-12.0778,-10.7922,-11.2482,-10.9773,-10.7943,-30.9764,-27.8813,-30.7142,-28.2515,-28.4737,-33.8798,-35.0264,-31.9224,-32.2502,-32.4061,-31.5958,-31.2376,-29.8895,-32.8335,-28.7759,-32.4611,-30.6855,-33.3007,-34.9688,-32.3309,-29.6463,-33.0947,-32.8776,-30.1862,-6.7225,-6.2594,-10.6321,-18.0523,-14.5626,-12.5848
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-10.873,-6.3052,-8.6427,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",4.8783,4.9148,3.2134,3.2736,3.2578,-11.2075,1.9408,2.2298,1.4109,1.4261,-4.4201,2.8228,1.5047,1.0316,1.6994,0.831799999999999,0.870899999999999,1.9099,1.2078,2.8714,2.738,2.101,3.0098,-0.658300000000001,1.8551,4.079,1.3669,2.6524,2.1964,2.4673,2.6503,4.7501,7.8452,5.0123,7.475,7.2528,1.8467,0.700099999999999,3.8041,3.4763,3.3204,4.1307,4.4889,5.837,2.893,6.9506,3.2654,5.041,2.4258,0.7577,3.3956,6.0802,2.6318,2.8489,1.1664,1.0453,1.5084,-0.363999999999999,-3.2576,2.2213,4.1991
