"","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"P Information Ratio",1.39,1.11,0.56,0.32,0.54,1.26,0.49,1.09,0.9,0.95,1.17,0.13,0.6,0.57,1.3,2.34,1.82,0.99,0.3,-0.02,-0.13,-0.05,-0.47,1.62,0.29,-0.32,-0.58,-0.3,-0.85,-0.56,-0.27,0.06,0.04,2.32,2.88,2.74,1.96,2.23,1.2,1.34,2.3,2.84,1.13,0.92,1.88,1.1,0.85,1.52,0.87,0.03,1.03,0.96
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.93,0.59,0.24,0.26,0.77,0.73,0.42,1.02,0.83,1.06,0.82,0.6,0.39,1.45,2.61,2.91,3.06,2.24,0.94,-0.13,-0.06,0,-0.34,2.3,1.03,0.17,-0.12,-0.26,-1.79,-0.38,-1.16,0.31,0.71,3.03,1.72,1.98,1.49,2.21,-0.22,0.11,0.31,2.84,1.96,1.54,3.27,1.6,1.84,2.35,1.49,0.39,1.92,0.99
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.39,1.28,1.24,1.27,1.26,0.8,0.78,0.71,0.76,0.56,0.66,0.28,0.34,0.2,0.02,0.1,-0.16,-0.02,0.28,1.38,0.71,0.83,1.32,1.14,1.59,1.31,1.17,1.5,1.39,1.43,1.82,1.37,1.77,1.44,2.25,1.79,1.96,2.12,2.37,2.18,2.23,0.46,0.7,0.64,0.28,0.17,0.16,0.24,0.23,0.93,0.82,0.92
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",50.99,56.92,36.56,32.68,34.36,27.09,24.22,35.34,36.43,30.66,53.26,1.75,18.48,5.04,-10.9,-8.52,-8.18,-11.03,-5.55,34.67,9.34,30.76,88.46,65,65.99,89.51,79.4,72.52,77.49,72.88,79.8,82.93,85.21,61.71,60.35,42.11,44.33,62.16,63.71,52.37,44.37,-7.38,-0.26,3.91,-8.95,-9.44,-9.97,-8.91,-7.26,52.27,26.48,42.77
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-15.4948,-14.0302,-13.2764,-14.2056,-14.0359,-14.9277,-14.4787,-11.7814,-9.4935,-10.7466,-9.3163,-13.2345,-10.5863,-11.7271,-9.3067,-5.1289,-6.8688,-8.0998,-12.7772,-19.0877,-12.2234,-11.9134,-40.4856,-31.1222,-40.4366,-38.7761,-40.334,-48.3734,-46.8347,-46.8077,-53.5432,-42.5463,-49.0923,-39.4102,-13.1514,-12.4753,-12.303,-10.5867,-11.9164,-12.363,-13.3054,-13.1704,-13.4516,-10.3054,-10.6935,-9.3759,-10.4361,-11.8909,-9.1006,-16.053,-18.2269,-17.8463
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-6.852,-5.3874,-4.6336,-5.5628,-5.3931,-4.0648,-3.6158,1.6632,3.9511,2.698,4.1283,0.210099999999999,2.8583,1.7175,3.6814,6.4538,3.7877,-0.8445,-5.6798,-14.6746,-7.8103,-3.5097,-4.7591,4.6043,-4.7101,-3.0496,-4.6075,-12.6469,-11.1082,-11.0812,-17.8167,-6.8198,-13.3658,-8.0576,-5.3836,-4.7075,-4.5352,-2.8189,-4.1486,-5.2514,-7.2143,-9.3466,-8.2734,-5.1272,-5.5153,-4.1977,-5.2579,-5.5951,1.1675,-1.2583,-1.443,-1.0624
