"","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",27.154,25.371,28.098,20.699,11.614,7.919,15.823,17.004,15.956,11.965,3.697,17.19,11.678,20.39,23.98,17.482,18.373,15.386,16.059,16.672,20.647,17.99,21.491,17.92,16.785,16.757,19.977,23.353,19.904,24.178,22.366,23.293,17.131,15.09,15.086,9.579,14.585,6.981,10.063,10.139
"B Annualized Returns",5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",22.032,19.179,22.945,16.11,7.08,3.582,11.467,13.091,11.486,9.754,8.155,17.784,10.494,18.522,20.822,13.737,16.816,15.314,13.073,14.095,15.272,12.501,13.976,10.496,8.844,8.801,12.206,14.297,11.737,11.992,11.29,8.711,5.9,4.672,4.108,0.638,4.76,1.793,2.938,4.4
"P Volatility",29.15,28.81,25.61,24.69,25.46,18.67,14.38,16,15.64,15.88,20.48,26.39,27.82,27.8,24.7,25.17,25.19,25.02,22.33,22,22.46,20.91,21.77,19,19.16,20.22,20.73,21.08,20.3,22.3,23.54,19.43,22.82,20.4,21.93,23.64,24.89,25.39,25.74,24.95
"B Volatility",10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",19.07,18.91,15.71,14.79,15.53,8.74,4.33,5.93,5.49,5.34,5.53,10.55,11.87,11.86,8.76,9.02,9.04,8.74,5.15,4.6,5.44,3.86,4.51,1.95,2.07,2.89,3.64,4.03,3.8,5.56,7.36,3.71,7.26,4.82,6.18,8,9.17,8.93,9.27,8.48
"P Tracking Error",24.05,23.75,20.59,19.47,20.59,13.91,10.53,11.82,11.53,9.89,10.95,16.27,16.31,17.29,15.54,14.25,14.78,14.38,11.06,11.68,10.87,10.1,9.51,9.34,9.37,7.93,10.09,14.4,12.89,13.45,12.73,7.32,10.7,9.65,10.48,10.82,11.66,11.39,12.85,13.15
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.92,0.81,1.11,0.83,0.34,0.26,1.09,1.11,1,0.99,0.74,1.09,0.64,1.07,1.34,0.96,1.14,1.06,1.18,1.21,1.4,1.24,1.47,1.12,0.94,1.11,1.21,0.99,0.91,0.89,0.89,1.19,0.55,0.48,0.39,0.06,0.41,0.16,0.23,0.33
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.43,1.29,1.64,1.13,0.24,0.24,0.95,1.02,0.84,0.75,0.8,1.38,0.97,1.51,1.57,1.24,1.43,1.23,1.01,1.21,1.06,0.93,1.04,0.8,0.79,0.78,0.89,1.19,0.91,0.86,0.61,0.49,0.28,0.23,0.15,-0.14,0.12,0.1,0.24,0.33
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.84,1.86,1.68,1.67,1.64,1.29,0.98,1.07,1.04,1.19,1.17,1.36,1.5,1.43,1.22,1.32,1.3,1.29,1.14,1.07,1.17,1.08,1.14,0.97,0.98,1.08,1.06,0.91,0.95,1.06,1.25,1.16,1.34,1.17,1.25,1.4,1.48,1.45,1.42,1.33
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
