"","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.95,1.73,1.91,1.56,1.77,0.95,1.13,1.03,0.8,1.26,1.28,1.28,1.29,1.34,1.18,1.11,0.74,0.68,0.34,0.74,0.91,0.56,0.69,1.17,1.22,1.3,1.74,2.3,1.89,1.79,1.24,0.82,0.76,0.95,1,0.45,0.12,0.39,0.51,0.57,0.53,0.25,0.25,0.24,0.27,0.33,0.89,1.08,1.01,0.72,0.8,0.42
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.72,0.95,0.51,0.6,0.52,0.84,0.67,0.82,0.79,1.25,1.27,1.26,1.48,1.36,1.21,1.38,1.2,1.08,1.01,0.84,0.91,0.89,1.03,1.02,1.02,1.12,1.15,1.02,1.01,1.18,1.26,1.15,1.35,1.17,1.26,1.39,1.53,1.48,1.39,1.25,1.11,1.2,1.22,1.14,1.26,1.35,1.51,1.05,0.93,1.1,1.19,1.35
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",3.67,7.58,-0.02,2.49,-1.45,18.95,21.83,32.06,32.37,66.11,61.53,58.1,60.6,59.55,56.34,61.78,52.86,53.67,67.52,59.85,63.88,64.2,84.49,75.3,76.94,85.7,78.5,60.51,63.99,68.39,73.83,88.95,85.6,83.39,85.14,87.71,88.32,88.68,79.16,72.44,70.15,76.48,76.76,80.19,77.65,67.26,65.73,67.38,58.46,69.59,69.22,74.67
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-17.7173,-18.3328,-14.5739,-15.3181,-16.2712,-14.9628,-12.5492,-15.6882,-15.7338,-16.6211,-16.7258,-17.73,-22.1411,-19.3722,-18.0129,-20.297,-18.0775,-15.0187,-14.4849,-14.706,-13.5492,-13.4222,-33.2478,-29.7733,-29.4934,-33.1991,-32.4876,-28.7208,-27.7133,-29.0786,-33.9164,-32.1078,-35.7437,-32.4841,-32.6289,-35.9699,-40.7131,-40.9207,-39.4263,-36.7894,-32.9305,-34.9391,-34.0698,-32.4603,-35.6508,-32.4556,-8.2483,-9.1686,-9.1876,-15.2887,-20.2365,-24.1234
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-9.0745,-9.69,-5.9311,-6.6753,-7.6284,-4.0999,-1.6863,-2.2436,-2.2892,-3.1765,-3.2812,-4.2854,-8.6965,-5.9276,-4.5683,-6.8524,-4.6329,-1.574,-1.0403,-1.2614,-0.104600000000001,0.0223999999999993,2.4787,5.9532,6.2331,2.5274,3.2389,7.0057,8.0132,6.6479,1.8101,3.6187,-0.0171999999999954,3.2424,3.0976,-0.243400000000001,-4.9866,-5.1942,-3.6998,-1.0629,2.796,0.787399999999998,1.6567,3.2662,0.0757000000000048,-1.103,-0.4805,-1.4008,1.0805,-0.494,-3.4526,-7.3395
